"Object Designation  ","Date (yyyy-mm-dd.dd)","Distance (rEarth)","Width (rEarth)","Sigma Impact  ","Sigma LOV  ","Stretch LOV (rEarth)","Impact Probability  ","Impact Energy (Mt)","Palermo Scale  ","Torino Scale  ",""
"(2008 UV99)","2098-03-29.69","15.81","2.51e+1","0.591","0.50371","4.27e+6","3.4e-9","3.791e+03","-5.99","0","bK08U99V"
"(2010 KJ37)","2024-11-18.90","26.71","3.74e+1","0.687","1.52207","4.70e+4","6.9e-8","4.595e+00","-5.99","0","bK10K37J"
"(2015 BS516)","2037-09-17.25","109.31","2.08e+2","0.521","-0.92433","9.97e+5","1.4e-9","2.114e+03","-5.99","0","bK15Bp6S"
"(2015 ME131)","2035-08-17.53","167.43","5.92e+2","0.281","0.66785","1.73e+6","3.8e-10","9.198e+03","-5.99","0","bK15MD1E"
"(2016 NL56)","2080-09-09.86","74.39","2.53e+2","0.290","-0.26563","1.73e+5","1.1e-8","6.861e+02","-5.99","0","bK16N56L"
"(2016 WG)","2101-06-24.16","0.61","3.93e-3","0.000","0.90560","3.41e+6","1.2e-7","4.510e+01","-5.99","0","bK16W00G"
"(2000 WJ107)","2114-11-19.99","0.83","1.04e-2","0.000","0.68144","1.56e+6","2.3e-7","2.449e+01","-6.00","0","bK00WA7J"
"(2008 UV99)","2035-03-30.66","63.04","2.55e+1","2.432","0.52853","1.17e+6","6.9e-10","4.085e+03","-6.00","0","bK08U99V"
"(2010 XB73)","2023-06-04.21","46.16","4.32e+1","1.045","-1.25853","2.52e+5","1.2e-8","3.166e+01","-6.00","0","bK10X73B"
"(2017 FB1)","2108-03-03.51","1.36","2.06e-1","1.751","1.14423","3.84e+4","1.5e-7","3.675e+01","-6.00","0","bK17F01B"
"(2015 RN35)","2083-12-12.37","0.56","< 1.e-04","0.000","0.58174","2.57e+6","2.2e-7","1.579e+01","-6.00","0","bK15R35N"
