Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter,
(2013 CE129),1901-Apr-11 15:12ξαξ1_07:11,15.64 | 0.04019,1.66 | 0.00428,8.63,8.62,22.1,100 m -  230 m,bK13CC9E
216258 (2006 WH1),1901-Apr-12 00:49ξαξξξξ00:04,17.97 | 0.04618,17.95 | 0.04612,11.78,11.78,20.2,240 m -  540 m,a0216258
(2006 HC2),1901-Apr-19 19:02ξαξξξξ00:05,6.62 | 0.01701,6.59 | 0.01694,11.86,11.85,21.8,120 m -  260 m,bK06H02C
(2014 SM143),1901-Apr-20 21:03ξαξξξξ00:45,12.42 | 0.03191,11.61 | 0.02984,18.08,18.07,20.3,230 m -  520 m,bK14SE3M
(2000 HB24),1901-Apr-24 18:40ξαξ< 00:01,8.07 | 0.02074,8.07 | 0.02073,11.09,11.08,23.7,48 m -  110 m,bK00H24B
164121 (2003 YT1),1901-Apr-26 12:50ξαξ< 00:01,19.12 | 0.04912,19.11 | 0.04911,23.21,23.21,16.2,1.5 km -  3.4 km,a0164121
467460 (2006 JF42),1901-Apr-30 07:13ξαξξξξ02:50,13.57 | 0.03487,10.98 | 0.02822,13.24,13.24,19.1,400 m -  900 m,a0467460
(2014 GP17),1901-May-01 04:31ξαξξξξ02:06,14.45 | 0.03712,14.38 | 0.03694,8.66,8.65,25.2,24 m -   54 m,bK14G17P
387746 (2003 MH4),1901-Jun-04 10:24ξαξ< 00:01,5.51 | 0.01416,5.51 | 0.01416,9.14,9.12,20,270 m -  590 m,a0387746
(2014 HQ124),1901-Jun-07 13:02ξαξξξξ00:02,5.96 | 0.01531,5.88 | 0.01510,14.2,14.19,18.9,440 m -  990 m,bK14HC4Q
226554 (2003 WR21),1901-Jun-26 20:27ξαξ< 00:01,12.02 | 0.03088,12.02 | 0.03088,9.29,9.28,19.6,320 m -  710 m,a0226554
(2011 OB),1901-Jul-09 05:17ξαξξξξ01:26,4.99 | 0.01281,3.18 | 0.00817,20.13,20.12,19.3,370 m -  820 m,bK11O00B
