Object Designation  ,Date (yyyy-mm-dd.dd),Distance (rEarth),Sigma Impact  ,Stretch LOV (rEarth),Sigma LOV  ,Impact Probability  ,Width (rEarth),Impact Energy (Mt),Palermo Scale  ,Torino Scale  ,
(2010 AU118),2084-10-19.97,164.15,0.345,3.30E+06,-0.59533,2.50E-10,4.73E+02,9.17E+05,-5.13,0,bK10AB8U
(2010 MY112),2018-12-18.67,152.05,0.372,1.15E+06,-0.26227,9.60E-10,4.06E+02,1.70E+03,-5.14,0,bK10MB2Y
(2016 NL56),2025-09-10.83,106.35,0.224,1.14E+05,-0.24192,8.80E-09,4.70E+02,7.90E+02,-5.14,0,bK16N56L
(2007 FT3),2097-10-03.57,68.05,1.424,1.01E+05,-0.59732,3.10E-08,4.71E+01,2.68E+03,-5.15,0,bK07F03T
(2007 FT3),2025-10-03.64,134.19,2.826,5.39E+04,-0.34668,3.20E-09,4.71E+01,2.64E+03,-5.16,0,bK07F03T
(2008 PK9),2045-08-10.46,1.14,0.095,3.45E+05,-1.65835,1.80E-07,1.46E+00,7.77E+01,-5.16,0,bK08P09K
(2008 UB7),2079-11-01.43,0.87,0,2.43E+05,-0.25771,1.50E-06,3.80E-03,1.44E+01,-5.16,0,bK08U07B
(2005 ED224),2030-03-11.19,0.1,0,6.12E+05,1.96176,1.90E-07,1.44E-02,2.71E+01,-5.17,0,bK05EM4D
(2010 AU118),2105-10-21.33,137.72,0.32,3.10E+06,-0.5902,3.00E-10,4.27E+02,9.16E+05,-5.18,0,bK10AB8U
(2015 ME131),2023-08-18.89,2.61,0.003,7.84E+05,0.7402,7.80E-10,6.31E+02,1.05E+04,-5.18,0,bK15MD1E
(2007 KO4),2046-11-23.92,4.33,0.106,1.90E+04,0.99633,5.10E-07,3.13E+01,2.11E+01,-5.18,0,bK07K04O
(2002 RB182),2076-10-06.39,1.05,0.296,1.84E+05,-0.55862,6.30E-07,1.79E-01,3.84E+01,-5.19,0,bK02RI2B
(2011 VG9),2086-11-01.73,0.22,0,1.39E+05,2.63333,1.70E-07,2.06E-02,2.35E+02,-5.19,0,bK11V09G
101955 Bennu (1999 RQ36),2187-09-24.96,0.03,0,1.04E+06,-2.284,1.20E-07,< 1.e-04,1.15E+03,-5.19,,a0101955
(2010 AU118),2093-10-20.60,11.57,0.018,2.83E+06,-0.56136,2.50E-10,6.02E+02,9.09E+05,-5.19,0,bK10AB8U
(2015 DA54),2107-07-30.16,0.21,0,6.99E+05,2.453,5.50E-08,1.55E-02,1.32E+03,-5.2,0,bK15D54A
410777 (2009 FD),2192-03-29.51,0.81,0,4.53E+05,1.253,6.00E-07,< 1.e-04,1.45E+02,-5.22,,a0410777
(2005 CC37),2117-01-13.66,0.92,0,2.68E+05,0.27813,1.10E-06,1.42E-02,3.02E+01,-5.23,0,bK05C37C
(2008 EX5),2071-10-09.68,0.39,0,3.61E+05,-0.4693,1.80E-06,1.59E-02,7.29E+00,-5.26,0,bK08E05X
(2008 UB7),2056-10-31.64,0.38,0,6.56E+05,0.85407,7.80E-07,3.93E-03,1.44E+01,-5.26,0,bK08U07B
(2010 AU118),2105-10-21.87,123.93,0.182,2.52E+06,-0.54008,2.50E-10,6.77E+02,9.04E+05,-5.26,0,bK10AB8U
(2002 MN),2071-06-15.66,0.48,0,3.69E+05,-1.12854,1.00E-06,9.82E-04,1.48E+01,-5.27,0,bK02M00N
(2006 QN111),2079-08-16.47,0.44,0,6.93E+04,-1.84122,1.90E-06,1.52E-02,8.09E+00,-5.27,0,bK06QB1N
(2007 FT3),2030-10-03.69,64.55,1.341,9.10E+05,-0.53047,4.00E-09,4.74E+01,2.67E+03,-5.27,0,bK07F03T
(2007 FT3),2067-10-03.72,38.11,0.79,3.77E+05,-0.83834,1.40E-08,4.70E+01,2.73E+03,-5.28,0,bK07F03T
(2010 MA113),2076-01-25.33,1.33,0.141,1.29E+05,1.8312,3.00E-07,2.35E+00,7.25E+01,-5.28,0,bK10MB3A
(2015 ME131),2024-08-18.10,0.92,0,8.64E+05,0.73825,7.00E-10,6.34E+02,1.04E+04,-5.28,0,bK15MD1E
101955 Bennu (1999 RQ36),2181-09-24.51,0.01,0,1.55E+06,2.213,9.40E-08,< 1.e-04,1.15E+03,-5.28,,a0101955
(1999 RZ31),2056-09-05.11,0.24,0,1.06E+05,1.82694,1.40E-06,7.87E-03,6.38E+00,-5.29,0,bJ99R31Z
(2010 AU118),2106-10-21.88,9.4,0.012,2.48E+06,-0.56263,2.40E-10,7.26E+02,9.09E+05,-5.29,0,bK10AB8U
(2009 BR5),2078-07-19.27,0.69,0,2.71E+06,0.66506,1.70E-07,6.67E-02,1.55E+02,-5.29,0,bK09B05R
(2010 JA43),2019-01-07.08,98.74,0.783,1.58E+05,-1.81922,3.60E-09,1.25E+02,2.25E+02,-5.29,0,bK10J43A
(2016 WN55),2031-09-13.92,168.4,1.196,6.21E+05,-0.49355,2.50E-09,1.40E+02,5.01E+03,-5.29,0,bK16W55N
(2007 KO4),2038-11-23.84,24.18,0.72,2.96E+04,0.84438,2.80E-07,3.22E+01,2.15E+01,-5.3,0,bK07K04O
(2002 RB182),2088-10-08.02,0.07,0,1.19E+06,-0.48116,5.80E-07,1.94E-01,3.77E+01,-5.31,0,bK02RI2B
(2011 VG9),2086-11-01.76,0.46,0,1.49E+05,2.68324,1.30E-07,2.08E-02,2.35E+02,-5.31,0,bK11V09G
(2012 ES10),2059-03-05.45,0.64,0,7.15E+05,1.14774,4.40E-07,1.57E-02,2.70E+01,-5.31,0,bK12E10S
(2016 WG),2101-06-24.42,0.64,0,8.26E+05,-0.67539,5.90E-07,4.66E-03,4.52E+01,-5.31,0,bK16W00G
(2011 VG9),2112-11-03.27,0.82,0,1.21E+06,1.24515,1.70E-07,1.11E-02,2.34E+02,-5.32,0,bK11V09G
(2010 AU118),2084-10-20.63,158.5,0.273,4.30E+06,-0.53321,1.70E-10,5.77E+02,9.02E+05,-5.32,0,bK10AB8U
(2001 CA21),2060-02-22.15,34.21,1.943,1.11E+06,-1.60917,9.90E-10,1.71E+01,5.43E+04,-5.33,0,bK01C21A
(2007 FT3),2034-10-03.10,143.27,2.715,2.94E+04,-1.07823,4.30E-09,5.24E+01,2.77E+03,-5.33,0,bK07F03T
(2008 UB7),2079-11-01.41,0.24,0,7.14E+05,-0.25497,1.00E-06,1.55E-02,1.44E+01,-5.33,0,bK08U07B
(2015 RN35),2092-12-11.30,0.42,0,5.21E+05,0.5834,1.20E-06,7.08E-03,1.58E+01,-5.33,0,bK15R35N
(2016 WN55),2058-09-12.78,20.84,0.125,4.62E+05,-0.53317,5.80E-09,1.59E+02,5.47E+03,-5.34,0,bK16W55N
(2007 FT3),2115-10-04.60,107.78,0.624,5.63E+04,-1.07158,2.40E-08,1.71E+02,2.77E+03,-5.34,0,bK07F03T
(2007 KO4),2030-11-23.74,49.43,1.521,2.46E+04,0.64273,1.60E-07,3.18E+01,2.21E+01,-5.34,0,bK07K04O
(2011 VG9),2104-11-03.86,0.91,0,2.20E+06,-0.05724,1.50E-07,< 1.e-04,2.31E+02,-5.35,0,bK11V09G
(2016 WG),2101-06-24.42,0.64,0,9.15E+05,-0.67542,5.30E-07,4.63E-03,4.52E+01,-5.35,0,bK16W00G
